kemendagri_kode_provinsi,kemendagri_nama_provinsi,kemendagri_kode_kabupaten_kota,kemendagri_nama_kabupaten_kota,tahun,jumlah_puskesmas,satuan
11,Aceh,11.09,Kabupaten Simeulue,2024,15,unit
11,Aceh,11.1,Kabupaten Aceh Singkil,2024,12,unit
11,Aceh,11.01,Kabupaten Aceh Selatan,2024,27,unit
11,Aceh,11.02,Kabupaten Aceh Tenggara,2024,19,unit
11,Aceh,11.03,Kabupaten Aceh Timur,2024,27,unit
11,Aceh,11.04,Kabupaten Aceh Tengah,2024,17,unit
11,Aceh,11.05,Kabupaten Aceh Barat,2024,13,unit
11,Aceh,11.06,Kabupaten Aceh Besar,2024,29,unit
11,Aceh,11.07,Kabupaten Pidie,2024,26,unit
11,Aceh,11.11,Kabupaten Bireuen,2024,13,unit
11,Aceh,11.08,Kabupaten Aceh Utara,2024,32,unit
11,Aceh,11.12,Kabupaten Aceh Barat Daya,2024,13,unit
11,Aceh,11.13,Kabupaten Gayo Lues,2024,12,unit
11,Aceh,11.16,Kabupaten Aceh Tamiang,2024,15,unit
11,Aceh,11.15,Kabupaten Nagan Raya,2024,15,unit
11,Aceh,11.14,Kabupaten Aceh Jaya,2024,12,unit
11,Aceh,11.17,Kabupaten Bener Meriah,2024,13,unit
11,Aceh,11.18,Kabupaten Pidie Jaya,2024,12,unit
11,Aceh,11.71,Kota Banda Aceh,2024,11,unit
11,Aceh,11.72,Kota Sabang,2024,6,unit
11,Aceh,11.74,Kota Langsa,2024,5,unit
11,Aceh,11.73,Kota Lhokseumawe,2024,7,unit
11,Aceh,11.75,Kota Subulussalam,2024,8,unit
